dates,close,index,evt
6/21/2006,2.948,33762,0
6/22/2006,2.948,34229,0
6/23/2006,2.923,33132.3,0
6/26/2006,2.898,31950.6,0
6/27/2006,2.898,32470.4,0
6/28/2006,2.923,33207.1,0
6/29/2006,2.873,34031.1,0
6/30/2006,3.22,35453.3,0
7/3/2006,3.071,35456.5,0
7/4/2006,3.071,36481.2,0
7/5/2006,3.195,35385,0
7/6/2006,3.121,35698.7,0
7/7/2006,3.22,36202.2,0
7/10/2006,3.294,36148.4,0
7/11/2006,3.195,35955.8,0
7/12/2006,3.171,35815.5,0
7/13/2006,3.096,35010.5,0
7/14/2006,2.997,33831.7,0
7/17/2006,2.972,32702.9,0
7/18/2006,2.972,33618,0
7/19/2006,2.997,33554.4,0
7/20/2006,3.022,35311,0
7/21/2006,2.948,34988.8,0
7/24/2006,2.923,34959,0
7/25/2006,2.972,35264.4,0
7/26/2006,2.997,35984.5,0
7/27/2006,2.972,36747.3,0
7/28/2006,3.071,36101.9,0
7/31/2006,3.022,36067.9,0
8/1/2006,2.948,35742.8,0
8/2/2006,3.022,35721.6,0
8/3/2006,2.972,35262.9,0
8/4/2006,2.452,36159.6,1
8/7/2006,2.044,35967.5,0
8/8/2006,2.068,36535.8,0
8/9/2006,2.205,37563.3,0
8/10/2006,2.155,37389.3,0
8/11/2006,2.155,37418.1,0
8/14/2006,2.13,37631.1,0
8/15/2006,2.13,37806.5,0
8/16/2006,2.143,38433.4,0
8/17/2006,2.143,37885.3,0
8/18/2006,2.13,37384.8,0
8/21/2006,2.13,37164.9,1
8/22/2006,2.13,37130.8,0
8/23/2006,2.18,37121.8,0
8/24/2006,2.13,36651.4,0
8/25/2006,2.13,36861.7,0
8/28/2006,2.118,36686.7,1
8/29/2006,1.883,36897.2,0
8/30/2006,1.883,36897.2,0
8/31/2006,1.883,37285.9,0
9/1/2006,1.858,37414.9,0
9/4/2006,1.845,38139.1,0
9/5/2006,1.833,38180,0
9/6/2006,1.845,37689.7,0
9/7/2006,1.833,37457,0
9/8/2006,1.907,37372,0
9/11/2006,1.944,37172.6,1
9/12/2006,1.92,37624.5,0
9/13/2006,1.883,37774.6,0
9/14/2006,1.845,37478.6,0
9/15/2006,1.845,38143.9,0
9/18/2006,1.833,38245.9,0
9/19/2006,1.808,38345.1,0
9/20/2006,1.796,38275,0
9/21/2006,1.759,37790.8,0
9/22/2006,1.734,36390,0
9/25/2006,1.722,36084.2,0
9/26/2006,1.734,36432.4,0
9/27/2006,1.684,36818.7,0
9/28/2006,1.684,37268.2,0
9/29/2006,1.709,36924.9,0
10/2/2006,1.722,36983.9,1
10/3/2006,1.722,36830.4,0
10/4/2006,1.709,36389.7,0
10/5/2006,1.722,36917.4,0
10/6/2006,1.709,36737.6,0
10/9/2006,1.722,36885.9,0
10/10/2006,1.722,37449.2,0
10/11/2006,1.734,37660.4,0
10/12/2006,1.722,38316.9,0
10/13/2006,1.709,38486.1,0
10/16/2006,1.709,38997.9,1
10/17/2006,1.709,38456.8,0
10/18/2006,1.722,39743.8,0
10/19/2006,1.709,39823.9,0
10/20/2006,1.709,39643.8,0
10/23/2006,1.709,39643.8,0
10/24/2006,1.709,39643.8,0
10/25/2006,1.709,39643.8,0
